StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q6,Q6_5_TEXT,Q7,Q8,Q9,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,What is your role in CPSC 110?,Do you think that academic misconduct is a significant issue in CPSC 110?,How often have you observed academic misconduct in CPSC 110?,"What kind of academic misconduct have you witness in CPSC 110?
(Select all that apply) - Selected Choice","What kind of academic misconduct have you witness in CPSC 110?
(Select all that apply) - Other (please specify) - Text",Do you think the current methods of detecting and addressing academic misconduct in CPSC 110 are effective?,Which of the following measures do you think would be effective in reducing academic misconduct in CPSC 110? (Select all that apply) - Selected Choice,Which of the following measures do you think would be effective in reducing academic misconduct in CPSC 110? (Select all that apply) - Other (please specify) - Text,Do you think looking closely at students' Racket starter files during exams is an effective means of preventing academic misconduct?,Do you think investing in targeted training for the CPSC 110 Teaching Team will reduce the incidence of academic misconduct in the course?,Would you like to see more training and resources provided to TAs to help them identify and address academic misconduct?,Are there any changes you would like to see in CPSC 110 to improve academic integrity?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_5_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID11_TEXT""}"
2023-03-21 16:28:28,2023-03-21 16:28:34,1,,100,5,1,2023-03-21 16:28:35,R_3phbSJmx0F4uhbK,,,,,49.4635,-122.822,preview,EN,,,,,,,,,,,,,
2023-03-21 18:09:25,2023-03-21 18:11:35,0,206.87.114.179,9,130,0,2023-03-28 18:11:37,R_2dVXwZXsp1GIvq7,,,,,,,anonymous,EN,0.8999999761581421,,,,,,,,,,,,
2023-03-29 12:34:04,2023-03-29 12:42:03,0,24.86.0.159,100,478,1,2023-03-29 12:42:03,R_cTvjzUvQk3Khwxb,,,,,49.1689,-123.1442,anonymous,EN,0.8999999761581421,,,,,,,,,,,,
2023-03-29 12:49:10,2023-03-29 12:51:37,0,70.71.189.146,100,146,1,2023-03-29 12:51:38,R_21dD0yuwE3TjgO8,,,,,49.2391,-122.8531,anonymous,EN,0.8999999761581421,2,3,5,5,i never witnessed any,1,4,,2,2,2,
2023-03-29 12:51:13,2023-03-29 12:52:29,0,128.189.143.138,100,75,1,2023-03-29 12:52:30,R_3CTc2yVqCmz8NuA,,,,,49.2666,-123.1976,anonymous,EN,1,1,1,2,"1,2,4",,3,"1,2,3,4",,2,2,2,
2023-03-29 12:55:55,2023-03-29 12:56:49,0,209.52.88.34,100,54,1,2023-03-29 12:56:50,R_6x0QTayRxd1uXq9,,,,,49.2556,-123.062,anonymous,EN,0.8999999761581421,2,1,3,"1,2,4",,3,4,,2,2,2,
2023-03-29 12:58:09,2023-03-29 12:59:47,0,24.244.23.26,100,97,1,2023-03-29 12:59:47,R_a2z64xuNdwqTRgB,,,,,49.2372,-123.037,anonymous,EN,0.8999999761581421,2,4,4,1,,3,2,,3,2,3,
2023-03-29 12:56:04,2023-03-29 13:01:51,0,128.189.196.44,100,346,1,2023-03-29 13:01:51,R_1LMrNRSPuNBGbju,,,,,49.4635,-122.822,anonymous,EN,0.8999999761581421,2,2,2,"1,2,3",,3,"3,4",,1,2,2,
2023-03-29 13:01:35,2023-03-29 13:02:26,0,75.154.251.60,100,50,1,2023-03-29 13:02:26,R_2YnUNN4SZmJYqX5,,,,,49.2666,-123.1976,anonymous,EN,1,,,,,,,,,,,,
2023-03-29 13:01:07,2023-03-29 13:03:07,0,128.189.89.98,100,120,1,2023-03-29 13:03:08,R_Aorgfy4yWcemxUZ,,,,,49.4635,-122.822,anonymous,EN,0.8999999761581421,2,3,4,2,,2,3,,2,3,2,
